Avion;FR;BE;CH;DE;ES;IT;NL;GB;US
2019-01-06;47,00;65,00;7,00;10,00;4,00;13,26;114,49;6,03;21,69
2019-01-13;43,00;70,00;8,00;10,00;3,00;11,94;103,92;7,17;19,11
2019-01-20;37,00;54,00;17,00;11,00;5,00;13,13;91,90;7,16;19,10
2019-01-27;43,00;70,00;9,00;10,00;3,00;11,94;97,94;5,97;20,31
2019-02-03;39,00;72,00;15,00;10,00;4,00;10,64;102,82;5,91;20,09
2019-02-10;43,00;56,00;13,00;9,00;3,00;13,14;91,97;5,97;21,50
2019-02-17;44,00;53,00;14,00;13,00;6,00;13,44;88,00;6,11;20,78
2019-02-24;48,00;60,00;15,00;11,00;3,00;14,40;76,80;6,00;21,60
2019-03-03;36,00;62,00;7,00;11,00;4,00;10,80;84,00;7,20;22,80
2019-03-10;42,00;54,00;11,00;11,00;5,00;12,00;84,00;6,00;21,60
2019-03-17;46,00;70,00;10,00;11,00;6,00;12,11;92,00;7,26;20,58
2019-03-24;40,00;61,00;12,00;13,00;5,00;13,33;76,36;7,27;20,61
2019-03-31;46,00;63,00;17,00;10,00;6,00;12,11;87,16;7,26;20,58
2019-04-07;46,00;71,00;11,00;12,00;5,00;10,89;87,16;8,47;20,58
2019-04-14;40,00;59,00;11,00;11,00;6,00;12,12;80,00;7,27;19,39
2019-04-21;43,00;64,00;21,00;12,00;2,00;10,75;82,42;5,97;19,11
2019-04-28;42,00;61,00;16,00;11,00;5,00;13,20;88,80;6,00;19,20
2019-05-05;40,00;66,00;15,00;11,00;4,00;15,76;83,64;7,27;20,61
2019-05-12;40,00;51,00;18,00;13,00;6,00;13,33;82,42;6,06;21,82
2019-05-19;39,00;71,00;14,00;10,00;4,00;10,97;79,22;6,09;21,94
2019-05-26;41,00;58,00;26,00;12,00;4,00;11,71;82,00;8,20;22,26
2019-06-02;41,00;49,00;8,00;12,00;6,00;15,68;98,88;8,44;22,91
2019-06-09;44,00;68,00;17,00;14,00;7,00;14,27;92,76;8,32;21,41
2019-06-16;50,00;71,00;11,00;14,00;6,00;13,10;79,76;8,33;22,62
2019-06-23;46,00;66,00;10,00;13,00;5,00;14,53;85,95;6,05;24,21
2019-06-30;51,00;82,00;12,00;14,00;6,00;17,79;102,00;7,12;21,35
2019-07-07;48,00;90,00;23,00;15,00;5,00;16,80;114,00;8,40;21,60
2019-07-14;52,00;86,00;21,00;15,00;11,00;15,72;113,67;8,47;20,56
2019-07-21;47,00;74,00;23,00;14,00;7,00;18,08;120,51;9,64;21,69
2019-07-28;57,00;78,00;18,00;16,00;8,00;16,63;96,19;8,31;20,19
2019-08-04;51,00;77,00;18,00;11,00;6,00;19,43;102,00;8,50;19,43
2019-08-11;43,00;68,00;10,00;13,00;8,00;15,97;103,20;7,37;18,43
2019-08-18;42,00;56,00;22,00;10,00;5,00;13,20;105,60;7,20;19,20
2019-08-25;42,00;50,00;12,00;12,00;6,00;12,00;94,80;7,20;19,20
2019-09-01;42,00;57,00;12,00;10,00;7,00;15,60;99,60;8,40;18,00
2019-09-08;38,00;56,00;18,00;11,00;5,00;14,25;79,56;11,88;17,81
2019-09-15;39,00;69,00;21,00;10,00;6,00;13,00;83,91;10,64;17,73
2019-09-22;37,00;61,00;13,00;11,00;6,00;14,32;77,58;9,55;17,90
2019-09-29;37,00;66,00;21,00;11,00;3,00;11,94;82,35;9,55;19,10
2019-10-06;36,00;62,00;16,00;10,00;5,00;13,20;85,20;10,80;18,00
2019-10-13;37,00;45,00;9,00;9,00;3,00;11,94;84,74;14,32;20,29
2019-10-20;42,00;50,00;13,00;9,00;5,00;9,60;70,80;26,40;30,00
2019-10-27;37,00;47,00;13,00;9,00;3,00;11,94;85,94;17,90;23,87
2019-11-03;35,00;48,00;10,00;10,00;6,00;12,83;70,00;9,33;19,83
2019-11-10;33,00;55,00;13,00;9,00;5,00;14,67;70,89;9,78;19,56
2019-11-17;33,00;43,00;11,00;8,00;3,00;11,79;68,36;8,25;18,86
2019-11-24;37,00;52,00;9,00;9,00;4,00;14,32;69,23;9,55;20,29
2019-12-01;35,00;52,00;14,00;10,00;3,00;14,48;78,45;12,07;20,52
2019-12-08;34,00;55,00;7,00;10,00;4,00;10,55;75,03;11,72;21,10
2019-12-15;40,00;39,00;15,00;11,00;5,00;10,91;66,67;13,33;21,82
2019-12-22;40,00;63,00;17,00;10,00;6,00;15,29;92,94;15,29;22,35
2019-12-29;47,00;63,00;13,00;10,00;7,00;12,05;102,44;12,05;25,31
2020-01-05;43,00;68,00;12,00;11,00;7,00;14,33;118,25;13,14;26,28
2020-01-12;43,00;61,00;16,00;9,00;3,00;11,94;114,67;10,75;26,28
2020-01-19;43,00;70,00;16,00;11,00;4,00;10,75;101,53;9,56;23,89
2020-01-26;41,00;72,00;12,00;9,00;3,00;12,06;98,88;10,85;21,71
2020-02-02;44,00;64,00;11,00;9,00;5,00;9,51;93,95;10,70;21,41
2020-02-09;40,00;55,00;11,00;9,00;4,00;9,41;94,12;9,41;20,00
2020-02-16;45,00;65,00;14,00;9,00;5,00;12,16;91,22;8,51;21,89
2020-02-23;44,00;63,00;12,00;9,00;3,00;13,08;72,54;8,32;21,41
2020-03-01;37,00;58,00;12,00;9,00;4,00;10,74;70,42;8,35;20,29
2020-03-08;34,00;54,00;12,00;8,00;4,00;7,03;83,24;11,72;51,59
2020-03-15;20,00;34,00;6,00;6,00;4,00;5,88;35,29;9,41;22,35
2020-03-22;14,00;19,00;4,00;4,00;2,00;2,33;22,17;5,83;12,83
2020-03-29;12,00;12,00;5,00;4,00;1,00;2,40;22,80;4,80;10,80
2020-04-05;11,00;13,00;3,00;5,00;1,00;3,67;15,89;4,89;11,00
2020-04-12;11,00;11,00;4,00;3,00;2,00;3,67;17,11;4,89;11,00
2020-04-19;11,00;16,00;6,00;3,00;1,00;3,67;18,33;3,67;11,00
2020-04-26;11,00;12,00;5,00;4,00;2,00;3,67;18,33;3,67;11,00
2020-05-03;9,00;14,00;4,00;3,00;1,00;3,38;14,63;3,38;10,13
2020-05-10;13,00;14,00;2,00;4,00;3,00;4,73;23,64;5,91;13,00
2020-05-17;13,00;14,00;6,00;4,00;1,00;7,09;23,64;5,91;13,00
2020-05-24;15,00;15,00;11,00;5,00;1,00;3,46;28,85;4,62;12,69
2020-05-31;21,00;31,00;8,00;7,00;2,00;5,83;32,67;5,83;12,83
2020-06-07;23,00;29,00;8,00;7,00;2,00;7,26;37,53;6,05;15,74
2020-06-14;28,00;35,00;8,00;7,00;2,00;8,17;38,50;4,67;16,33
2020-06-21;27,00;35,00;9,00;7,00;3,00;11,05;36,82;4,91;14,73
2020-06-28;27,00;37,00;10,00;8,00;2,00;10,57;41,09;7,04;12,91
2020-07-05;28,00;25,00;8,00;9,00;3,00;10,50;51,33;8,17;11,67
2020-07-12;27,00;29,00;9,00;8,00;2,00;9,82;51,55;6,14;13,50
2020-07-19;25,00;22,00;7,00;8,00;4,00;7,50;50,00;6,25;15,00
2020-07-26;25,00;14,00;4,00;7,00;2,00;7,14;36,90;7,14;11,90
2020-08-02;24,00;21,00;11,00;8,00;3,00;8,40;37,20;4,80;12,00
2020-08-09;22,00;26,00;8,00;6,00;5,00;8,56;31,78;7,33;13,44
2020-08-16;20,00;23,00;7,00;7,00;3,00;4,71;30,59;5,88;11,76
2020-08-23;19,00;23,00;6,00;5,00;4,00;5,94;23,75;5,94;11,88
2020-08-30;21,00;24,00;7,00;7,00;3,00;5,83;30,33;7,00;12,83
2020-09-06;20,00;17,00;7,00;6,00;3,00;7,06;34,12;3,53;12,94
2020-09-13;17,00;23,00;7,00;6,00;2,00;7,29;23,07;6,07;12,14
2020-09-20;18,00;30,00;6,00;4,00;3,00;6,00;24,00;4,80;13,20
2020-09-27;19,00;22,00;7,00;5,00;3,00;5,94;21,38;5,94;13,06
2020-10-04;22,00;21,00;4,00;6,00;2,00;3,67;28,11;8,56;13,44
2020-10-11;20,00;18,00;4,00;4,00;2,00;4,71;22,35;7,06;14,12
2020-10-18;21,00;20,00;5,00;5,00;1,00;3,71;22,24;4,94;14,82
2020-10-25;17,00;19,00;8,00;4,00;1,00;3,64;24,29;4,86;13,36
2020-11-01;13,00;21,00;3,00;4,00;2,00;3,55;26,00;5,91;10,64
2020-11-08;14,00;24,00;6,00;4,00;3,00;3,82;25,45;6,36;15,27
2020-11-15;15,00;28,00;12,00;5,00;2,00;3,75;31,25;6,25;15,00
2020-11-22;19,00;22,00;6,00;4,00;3,00;3,56;22,56;7,13;13,06
2020-11-29;21,00;32,00;5,00;5,00;2,00;6,18;27,18;6,18;12,35
2020-12-06;25,00;29,00;5,00;5,00;3,00;5,00;27,50;6,25;13,75
2020-12-13;26,00;26,00;10,00;5,00;2,00;4,73;26,00;5,91;11,82
2020-12-20;22,00;22,00;9,00;5,00;2,00;4,89;22,00;4,89;13,44
2020-12-27;26,00;29,00;4,00;4,00;1,00;7,09;20,09;3,55;14,18
2021-01-03;29,00;25,00;6,00;5,00;2,00;5,80;22,04;5,80;13,92
2021-01-10;22,00;31,00;4,00;5,00;1,00;4,89;26,89;6,11;14,67
2021-01-17;21,00;18,00;5,00;6,00;1,00;3,71;27,18;4,94;13,59
2021-01-24;19,00;16,00;6,00;5,00;1,00;4,75;17,81;5,94;13,06
2021-01-31;19,00;13,00;6,00;4,00;1,00;3,56;20,19;4,75;13,06
2021-02-07;16,00;12,00;5,00;6,00;2,00;3,43;16,00;4,57;13,71
2021-02-14;21,00;16,00;8,00;5,00;2,00;5,83;25,67;4,67;16,33
2021-02-21;20,00;14,00;10,00;5,00;1,00;3,53;23,53;4,71;16,47
2021-02-28;17,00;22,00;5,00;6,00;2,00;3,64;23,07;4,86;17,00
2021-03-07;23,00;18,00;5,00;6,00;2,00;3,63;21,79;3,63;19,37
2021-03-14;20,00;21,00;3,00;3,00;2,00;4,71;27,06;5,88;18,82
2021-03-21;22,00;21,00;7,00;7,00;2,00;4,89;22,00;3,67;19,56
2021-03-28;21,00;19,00;6,00;6,00;3,00;4,67;22,17;3,50;18,67
2021-04-04;20,00;14,00;5,00;5,00;2,00;5,00;25,00;2,50;21,25
2021-04-11;19,00;23,00;5,00;5,00;2,00;4,75;22,56;2,38;19,00
2021-04-18;20,00;24,00;8,00;3,00;2,00;7,06;21,18;2,35;18,82
2021-04-25;25,00;24,00;5,00;7,00;3,00;7,14;27,38;2,38;16,67
2021-05-02;30,00;31,00;7,00;4,00;2,00;6,00;30,00;2,40;19,20
2021-05-09;26,00;42,00;5,00;7,00;3,00;8,27;44,91;3,55;18,91
2021-05-16;37,00;46,00;12,00;8,00;4,00;9,55;50,13;2,39;20,29
2021-05-23;38,00;56,00;9,00;12,00;4,00;10,69;65,31;2,38;20,19
2021-05-30;39,00;58,00;9,00;14,00;3,00;8,27;65,00;3,55;21,27
2021-06-06;44,00;67,00;19,00;14,00;4,00;11,89;70,16;3,57;20,22
2021-06-13;69,00;100,00;14,00;14,00;5,00;14,53;96,84;3,63;21,79
2021-06-20;45,00;76,00;10,00;11,00;4,00;13,38;74,19;2,43;21,89
2021-06-27;51,00;76,00;10,00;14,00;4,00;13,05;84,21;3,56;20,16
2021-07-04;47,00;85,00;15,00;14,00;4,00;13,26;71,10;3,62;21,69
2021-07-11;40,00;59,00;15,00;13,00;6,00;13,33;65,45;4,85;20,61
2021-07-18;39,00;50,00;18,00;12,00;5,00;13,41;73,13;3,66;20,72
2021-07-25;34,00;69,00;12,00;12,00;6,00;10,93;77,71;4,86;18,21
2021-08-01;37,00;70,00;11,00;11,00;5,00;14,32;69,23;3,58;16,71
2021-08-08;34,00;62,00;9,00;11,00;6,00;12,14;80,14;4,86;15,79
