Semaine;Réunion (RE);Mayotte (YT);Maurice (MU);Seychelles (SC);Zanzibar (TZ);Madagascar (MG)
2019-01-06;19,00;2,71;271,43;157,43;2,71;38,00
2019-01-13;14,00;2,80;232,40;117,60;0,00;21,00
2019-01-20;5,00;7,50;200,00;112,50;0,00;19,00
2019-01-27;20,00;2,86;220,00;100,00;0,00;11,00
2019-02-03;14,00;0,00;148,40;123,20;0,00;27,00
2019-02-10;12,00;0,00;177,00;123,00;0,00;5,00
2019-02-17;7,00;4,67;151,67;100,33;0,00;7,00
2019-02-24;17,00;8,50;170,00;119,00;2,83;12,00
2019-03-03;16,00;5,33;186,67;80,00;0,00;33,00
2019-03-10;23,00;5,75;175,38;140,88;0,00;14,00
2019-03-17;12,00;6,00;165,00;147,00;0,00;34,00
2019-03-24;20,00;0,00;168,57;74,29;2,86;12,00
2019-03-31;19,00;0,00;171,00;86,86;2,71;15,00
2019-04-07;21,00;7,88;141,75;97,13;0,00;12,00
2019-04-14;8,00;2,67;136,00;98,67;0,00;13,00
2019-04-21;5,00;0,00;192,50;90,00;0,00;15,00
2019-04-28;16,00;5,33;154,67;114,67;2,67;16,00
2019-05-05;9,00;0,00;147,00;111,00;0,00;14,00
2019-05-12;12,00;0,00;156,00;99,00;0,00;19,00
2019-05-19;10,00;3,33;193,33;136,67;0,00;19,00
2019-05-26;19,00;0,00;100,43;105,86;2,71;12,00
2019-06-02;13,00;2,60;140,40;85,80;0,00;16,00
2019-06-09;16,00;2,67;162,67;85,33;0,00;23,00
2019-06-16;14,00;0,00;165,20;92,40;0,00;7,00
2019-06-23;14,00;2,80;148,40;100,80;0,00;17,00
2019-06-30;12,00;3,00;138,00;108,00;3,00;12,00
2019-07-07;12,00;6,00;165,00;105,00;3,00;28,00
2019-07-14;16,00;5,33;125,33;96,00;0,00;14,00
2019-07-21;24,00;5,33;157,33;80,00;0,00;17,00
2019-07-28;29,00;0,00;147,90;121,80;0,00;24,00
2019-08-04;14,00;2,80;184,80;100,80;2,80;21,00
2019-08-11;16,00;5,33;176,00;77,33;0,00;16,00
2019-08-18;10,00;3,33;210,00;136,67;6,67;24,00
2019-08-25;12,00;9,00;228,00;123,00;3,00;12,00
2019-09-01;21,00;6,00;150,00;117,00;0,00;16,00
2019-09-08;25,00;2,78;191,67;130,56;2,78;25,00
2019-09-15;18,00;2,57;172,29;92,57;5,14;16,00
2019-09-22;17,00;2,83;192,67;96,33;0,00;22,00
2019-09-29;18,00;3,00;129,00;93,00;0,00;18,00
2019-10-06;26,00;5,78;161,78;80,89;0,00;13,00
2019-10-13;26,00;0,00;130,00;91,00;2,60;31,00
2019-10-20;19,00;10,86;130,29;100,43;0,00;11,00
2019-10-27;19,00;2,71;154,71;78,71;2,71;22,00
2019-11-03;65,00;5,65;178,04;84,78;0,00;21,00
2019-11-10;6,00;3,00;126,00;84,00;0,00;11,00
2019-11-17;23,00;5,75;155,25;89,13;2,88;28,00
2019-11-24;12,00;3,00;132,00;90,00;0,00;8,00
2019-12-01;17,00;0,00;116,17;76,50;2,83;15,00
2019-12-08;19,00;2,71;111,29;89,57;0,00;9,00
2019-12-15;7,00;7,00;150,50;119,00;0,00;18,00
2019-12-22;19,00;5,43;138,43;89,57;0,00;24,00
2019-12-29;18,00;6,00;294,00;141,00;3,00;22,00
2020-01-05;28,00;2,80;229,60;114,80;0,00;18,00
2020-01-12;24,00;2,67;216,00;93,33;2,67;30,00
2020-01-19;17,00;2,83;226,67;121,83;2,83;23,00
2020-01-26;8,00;2,67;154,67;122,67;2,67;10,00
2020-02-02;17,00;5,67;167,17;119,00;0,00;15,00
2020-02-09;10,00;2,50;145,00;82,50;0,00;36,00
2020-02-16;14,00;2,80;184,80;128,80;0,00;18,00
2020-02-23;12,00;3,00;171,00;111,00;0,00;16,00
2020-03-01;14,00;5,60;109,20;95,20;2,80;18,00
2020-03-08;23,00;8,63;140,88;77,63;0,00;18,00
2020-03-15;11,00;2,75;93,50;104,50;0,00;8,00
2020-03-22;11,00;5,50;38,50;90,75;0,00;9,00
2020-03-29;16,00;5,33;53,33;56,00;0,00;17,00
2020-04-05;15,00;3,00;66,00;75,00;0,00;9,00
2020-04-12;9,00;3,00;210,00;66,00;0,00;2,00
2020-04-19;7,00;2,33;63,00;67,67;0,00;7,00
2020-04-26;11,00;2,75;46,75;71,50;0,00;4,00
2020-05-03;16,00;8,00;56,00;34,67;2,67;7,00
2020-05-10;9,00;6,00;42,00;81,00;0,00;9,00
2020-05-17;23,00;0,00;74,75;63,25;2,88;7,00
2020-05-24;13,00;2,60;65,00;57,20;2,60;4,00
2020-05-31;7,00;7,00;77,00;44,33;0,00;2,00
2020-06-07;11,00;5,50;71,50;55,00;0,00;14,00
2020-06-14;7,00;7,00;65,33;49,00;2,33;13,00
2020-06-21;15,00;3,00;81,00;63,00;0,00;6,00
2020-06-28;23,00;2,88;94,88;54,63;0,00;5,00
2020-07-05;21,00;3,00;99,00;63,00;0,00;8,00
2020-07-12;14,00;0,00;92,40;72,80;0,00;4,00
2020-07-19;14,00;0,00;92,40;56,00;2,80;6,00
2020-07-26;14,00;2,80;64,40;53,20;2,80;6,00
2020-08-02;18,00;0,00;51,43;69,43;2,57;8,00
2020-08-09;20,00;0,00;117,14;71,43;2,86;8,00
2020-08-16;26,00;2,89;75,11;69,33;2,89;12,00
2020-08-23;6,00;9,00;84,00;75,00;3,00;10,00
2020-08-30;14,00;0,00;98,00;64,40;2,80;4,00
2020-09-06;14,00;2,80;81,20;81,20;2,80;10,00
2020-09-13;10,00;2,50;62,50;57,50;2,50;14,00
2020-09-20;10,00;2,50;55,00;50,00;0,00;10,00
2020-09-27;14,00;2,80;56,00;61,60;0,00;2,00
2020-10-04;10,00;0,00;70,00;65,00;0,00;12,00
2020-10-11;13,00;0,00;54,60;46,80;0,00;13,00
2020-10-18;15,00;9,00;84,00;54,00;0,00;6,00
2020-10-25;8,00;2,67;48,00;77,33;2,67;10,00
2020-11-01;10,00;0,00;50,00;52,50;0,00;0,00
2020-11-08;14,00;2,80;81,20;56,00;2,80;6,00
2020-11-15;12,00;3,00;60,00;78,00;0,00;8,00
2020-11-22;0,00;1,00;21,00;22,00;0,00;16,00
2020-11-29;12,00;3,00;54,00;84,00;3,00;12,00
2020-12-06;17,00;0,00;68,00;73,67;0,00;10,00
2020-12-13;94,00;5,53;69,12;60,82;0,00;23,00
2020-12-20;100,00;0,00;77,78;58,33;2,78;7,00
2020-12-27;48,00;0,00;81,88;96,00;2,82;15,00
2021-01-03;28,00;2,80;53,20;70,00;0,00;8,00
2021-01-10;24,00;0,00;72,00;53,33;0,00;12,00
2021-01-17;12,00;3,00;78,00;63,00;0,00;8,00
2021-01-24;14,00;2,80;56,00;75,60;0,00;12,00
2021-01-31;12,00;3,00;42,00;45,00;3,00;8,00
2021-02-07;16,00;2,67;53,33;58,67;2,67;14,00
2021-02-14;6,00;0,00;66,00;51,00;0,00;6,00
2021-02-21;8,00;2,67;58,67;40,00;2,67;25,00
2021-02-28;10,00;0,00;52,50;62,50;2,50;2,00
2021-03-07;6,00;0,00;96,00;75,00;0,00;6,00
2021-03-14;8,00;2,67;77,33;58,67;2,67;6,00
2021-03-21;11,00;0,00;60,50;55,00;0,00;6,00
2021-03-28;7,00;3,50;52,50;87,50;0,00;14,00
2021-04-04;17,00;2,83;62,33;56,67;5,67;6,00
2021-04-11;13,00;2,60;33,80;52,00;0,00;7,00
2021-04-18;9,00;0,00;54,00;63,00;0,00;5,00
2021-04-25;2,00;0,00;38,00;48,00;0,00;9,00
2021-05-02;11,00;0,00;60,50;90,75;0,00;9,00
2021-05-09;15,00;0,00;42,50;87,50;0,00;4,00
2021-05-16;11,00;2,75;52,25;46,75;0,00;2,00
2021-05-23;21,00;6,00;39,00;51,00;0,00;7,00
2021-05-30;7,00;0,00;30,33;46,67;0,00;10,00
2021-06-06;9,00;0,00;33,00;39,00;3,00;7,00
2021-06-13;7,00;0,00;73,50;63,00;0,00;7,00
2021-06-20;18,00;2,57;36,00;33,43;2,57;5,00
2021-06-27;11,00;2,75;38,50;33,00;0,00;2,00
2021-07-04;7,00;7,00;63,00;73,50;3,50;7,00
2021-07-11;16,00;2,67;66,67;53,33;0,00;5,00
2021-07-18;26,00;0,00;80,89;66,44;0,00;2,00
2021-07-25;20,00;5,71;74,29;57,14;0,00;0,00
2021-08-01;30,00;10,91;114,55;35,45;0,00;14,00
2021-08-08;23,00;2,88;83,38;40,25;0,00;9,00
2021-08-15;7,00;0,00;129,50;42,00;0,00;5,00
2021-08-22;8,00;2,67;93,33;37,33;0,00;3,00
2021-08-29;17,00;5,67;90,67;48,17;0,00;10,00
2021-09-05;20,00;8,57;97,14;37,14;0,00;2,00
2021-09-12;6,00;0,00;147,00;51,00;0,00;11,00
