Semaine;Nice (FR);Mallorca (ES);Benidorm (ES);reta (SI);Agadir (MA);Ibiza (ES);Djerba (TN);Lloret de Mar (ES);Corfu (GR);Santorini Island (GR);Marbella (ES);Faro (PT);Málaga (ES);Bodrum (TR);Mykonos (GR);Biarritz (FR);Ars en Ré (FR);Saint Malo (FR);Le Cap d Agde (FR);Fréjus (FR);Cannes (FR);Dubrovnik (HR);Antibes (FR);Le Touquet (BE);Torremolinos (ES);Le Barcarès (FR);Deauville (FR);Porto Vecchio (FR);Lacanau (FR);Palavas les Flots (FR);Sitges (ES);Argelès sur Mer (FR);Carnac (FR);Arcachon (FR);Le Grau du Roi (FR);Cap Ferret (FR);Biscarrosse (FR);La Baule Escoublac (FR);Saint Jean de Monts (FR);Plage de la Palmyre (FR)
2019-01-06;11,00;36,00;3,00;1,00;3,00;31,00;2,00;6,00;17,00;28,00;1,00;2,00;5,00;2,00;5,00;1,00;0,00;1,00;3,00;1,00;1,00;3,00;2,00;0,00;0,00;0,00;1,00;2,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-01-13;11,00;22,00;4,00;1,00;3,00;27,00;2,00;7,00;26,00;28,00;2,00;2,00;6,00;0,50;10,00;2,00;0,00;0,50;2,00;0,50;1,00;3,00;0,00;0,00;0,50;0,00;0,50;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-01-20;14,00;31,00;3,00;1,00;1,00;30,00;5,00;5,00;21,00;26,00;1,00;2,00;10,00;2,00;6,00;1,00;0,00;0,00;1,00;1,00;0,50;3,00;2,00;0,00;0,50;0,00;0,50;0,50;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-01-27;19,00;29,00;2,00;0,50;3,00;23,00;4,00;7,00;24,00;33,00;0,50;2,00;4,00;2,00;16,00;2,00;0,00;0,00;2,00;1,00;2,00;2,00;1,00;0,50;0,00;0,00;0,00;2,00;0,00;0,00;0,50;0,00;0,50;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-02-03;14,00;31,00;2,00;0,00;2,00;19,00;2,00;6,00;25,00;29,00;0,50;3,00;4,00;0,50;10,00;0,00;0,00;1,00;2,00;0,50;1,00;3,00;1,00;0,00;0,00;0,00;0,00;1,00;0,00;0,00;0,50;0,00;0,50;0,00;0,50;0,00;0,00;0,00;0,00;0,00
2019-02-10;19,00;33,00;2,00;2,00;3,00;19,00;3,00;4,00;23,00;27,00;3,00;2,00;3,00;3,00;9,00;0,00;0,00;1,00;0,50;1,00;1,00;5,00;2,00;0,00;0,00;0,00;0,00;3,00;0,00;0,00;0,50;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-02-17;16,00;37,00;1,00;3,00;4,00;24,00;6,00;4,00;24,00;35,00;2,00;2,00;5,00;1,00;16,00;0,50;0,00;1,00;4,00;1,00;0,00;4,00;3,00;0,00;0,00;0,00;0,00;1,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-02-24;19,00;39,00;5,00;0,00;1,00;29,00;4,00;6,00;27,00;38,00;2,00;1,00;5,00;1,00;13,00;1,00;0,00;0,00;0,50;1,00;1,00;6,00;2,00;0,00;0,50;0,50;0,50;3,00;0,00;0,00;0,50;0,00;0,00;0,50;0,00;0,00;0,00;0,00;0,00;0,00
2019-03-03;17,00;38,00;5,00;0,00;2,00;21,00;4,00;10,00;21,00;37,00;3,00;3,00;7,00;2,00;17,00;2,00;0,00;2,00;3,00;1,00;2,00;5,00;3,00;0,00;1,00;0,00;0,00;1,00;1,00;0,00;1,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-03-10;23,00;33,00;5,00;1,00;0,00;28,00;2,00;9,00;31,00;29,00;2,00;2,00;6,00;1,00;15,00;1,00;0,00;2,00;1,00;2,00;2,00;4,00;3,00;0,00;0,50;0,00;0,00;2,00;0,50;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-03-17;18,00;43,00;3,00;1,00;2,00;27,00;7,00;9,00;23,00;32,00;3,00;6,00;7,00;1,00;15,00;1,00;1,00;0,00;1,00;2,00;3,00;5,00;4,00;0,00;0,00;0,00;0,00;3,00;0,00;0,00;1,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-03-24;17,00;41,00;5,00;1,00;2,00;33,00;6,00;11,00;18,00;41,00;4,00;3,00;9,00;3,00;19,00;2,00;0,00;1,00;4,00;2,00;3,00;7,00;3,00;0,00;0,00;0,00;0,00;6,00;0,00;0,00;1,00;0,00;1,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-03-31;17,00;44,00;4,00;1,00;3,00;34,00;7,00;8,00;20,00;34,00;3,00;4,00;6,00;1,00;9,00;2,00;0,00;0,00;2,00;3,00;1,00;5,00;3,00;0,00;0,00;0,00;0,00;2,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-04-07;17,00;37,00;6,00;1,00;1,00;34,00;4,00;8,00;28,00;38,00;1,00;2,00;7,00;2,00;8,00;0,50;0,50;0,00;0,50;0,50;4,00;10,00;1,00;0,00;0,00;0,00;0,50;3,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-04-14;21,00;38,00;3,00;0,00;2,00;34,00;9,00;7,00;28,00;43,00;3,00;3,00;5,00;5,00;10,00;2,00;1,00;1,00;1,00;1,00;5,00;4,00;7,00;0,00;1,00;0,00;1,00;2,00;0,00;0,00;1,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-04-21;27,00;43,00;2,00;1,00;0,00;40,00;5,00;6,00;28,00;47,00;0,00;4,00;5,00;3,00;12,00;2,00;1,00;3,00;2,00;2,00;5,00;12,00;6,00;0,00;0,00;0,00;1,00;3,00;1,00;0,00;2,00;0,00;0,00;0,00;0,00;1,00;0,00;0,00;0,00;0,00
2019-04-28;20,00;47,00;1,00;3,00;3,00;38,00;5,00;8,00;31,00;48,00;3,00;2,00;5,00;3,00;9,00;2,00;0,00;1,00;0,00;1,00;4,00;11,00;5,00;0,00;1,00;0,00;0,00;5,00;0,00;0,00;0,00;0,00;0,00;1,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-05-05;17,00;50,00;3,00;3,00;2,00;45,00;7,00;12,00;35,00;54,00;1,00;2,00;5,00;3,00;14,00;3,00;0,50;0,50;0,50;0,50;1,00;6,00;5,00;0,00;0,50;0,00;0,50;2,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-05-12;14,00;47,00;6,00;0,50;1,00;37,00;3,00;10,00;37,00;45,00;1,00;2,00;5,00;1,00;13,00;0,50;0,00;1,00;3,00;0,00;1,00;7,00;5,00;0,00;0,00;0,00;0,00;1,00;0,00;0,00;0,50;0,00;0,00;0,50;0,00;0,00;0,00;0,00;0,00;0,00
2019-05-19;21,00;51,00;3,00;1,00;1,00;42,00;5,00;11,00;29,00;54,00;2,00;2,00;5,00;2,00;9,00;1,00;0,00;1,00;1,00;1,00;5,00;11,00;2,00;0,00;0,00;0,00;1,00;5,00;0,00;0,00;0,50;0,00;0,00;0,00;0,50;0,00;0,00;0,00;0,00;0,00
2019-05-26;20,00;45,00;4,00;0,50;1,00;42,00;7,00;5,00;28,00;54,00;4,00;3,00;5,00;7,00;14,00;0,50;0,00;1,00;0,50;2,00;2,00;7,00;3,00;0,50;0,00;0,00;0,00;4,00;0,00;0,00;1,00;0,00;0,00;1,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-06-02;21,00;57,00;5,00;1,00;2,00;56,00;7,00;9,00;46,00;65,00;3,00;2,00;4,00;5,00;18,00;2,00;1,00;1,00;4,00;3,00;6,00;10,00;4,00;0,00;0,00;0,00;0,00;4,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;1,00;0,00;0,00
2019-06-09;24,00;72,00;3,00;0,00;3,00;63,00;11,00;12,00;50,00;69,00;2,00;3,00;8,00;4,00;23,00;3,00;1,00;2,00;2,00;2,00;4,00;9,00;4,00;0,00;0,00;0,00;1,00;6,00;1,00;0,00;0,00;0,00;0,00;1,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-06-16;22,00;77,00;6,00;0,00;4,00;62,00;6,00;11,00;56,00;73,00;2,00;4,00;7,00;4,00;30,00;1,00;1,00;1,00;4,00;1,00;3,00;11,00;7,00;1,00;0,00;0,00;1,00;9,00;0,00;1,00;1,00;0,00;1,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-06-23;23,00;78,00;5,00;2,00;4,00;68,00;9,00;7,00;49,00;82,00;2,00;1,00;7,00;4,00;21,00;2,00;1,00;2,00;2,00;1,00;4,00;13,00;5,00;0,00;1,00;1,00;0,00;5,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-06-30;30,00;71,00;4,00;2,00;1,00;62,00;6,00;22,00;53,00;72,00;2,00;4,00;3,00;9,00;24,00;1,00;1,00;1,00;1,00;1,00;4,00;15,00;6,00;1,00;1,00;0,00;1,00;6,00;0,00;1,00;1,00;0,00;1,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-07-07;26,00;74,00;5,00;2,00;2,00;59,00;13,00;14,00;52,00;79,00;3,00;1,00;7,00;6,00;27,00;1,00;0,00;0,50;2,00;1,00;7,00;17,00;6,00;0,00;0,00;0,00;0,00;8,00;0,00;0,00;1,00;0,00;0,50;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-07-14;32,00;73,00;6,00;1,00;3,00;54,00;11,00;18,00;67,00;80,00;2,00;2,00;6,00;5,00;28,00;3,00;1,00;2,00;3,00;2,00;2,00;17,00;10,00;0,00;0,00;1,00;1,00;8,00;0,00;1,00;1,00;1,00;0,00;1,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-07-21;29,00;84,00;3,00;1,00;3,00;59,00;12,00;20,00;64,00;82,00;2,00;3,00;8,00;7,00;27,00;2,00;1,00;1,00;3,00;2,00;6,00;15,00;6,00;0,00;1,00;0,00;0,00;12,00;1,00;0,00;1,00;0,00;0,00;0,00;0,00;1,00;0,00;0,00;0,00;0,00
2019-07-28;29,00;76,00;5,00;3,00;3,00;69,00;10,00;22,00;63,00;90,00;7,00;4,00;8,00;11,00;28,00;4,00;1,00;1,00;2,00;3,00;3,00;9,00;5,00;0,00;1,00;0,00;1,00;7,00;0,00;0,00;1,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-08-04;35,00;80,00;11,00;1,00;3,00;72,00;10,00;18,00;63,00;79,00;4,00;3,00;7,00;9,00;37,00;2,00;1,00;3,00;1,00;2,00;5,00;12,00;9,00;0,00;0,00;1,00;0,00;11,00;1,00;0,00;2,00;0,00;1,00;1,00;0,00;1,00;0,00;0,00;0,00;0,00
2019-08-11;46,00;75,00;6,00;2,00;3,00;71,00;14,00;15,00;59,00;63,00;5,00;1,00;8,00;7,00;21,00;5,00;1,00;5,00;2,00;2,00;7,00;14,00;9,00;0,00;0,00;0,00;0,00;6,00;0,00;1,00;2,00;0,00;0,00;1,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-08-18;28,00;63,00;5,00;1,00;2,00;57,00;9,00;12,00;41,00;59,00;4,00;3,00;8,00;3,00;28,00;26,00;2,00;2,00;4,00;2,00;7,00;10,00;6,00;0,00;1,00;0,00;0,00;5,00;1,00;0,00;0,00;0,00;1,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-08-25;25,00;55,00;4,00;2,00;3,00;45,00;8,00;7,00;38,00;47,00;1,00;0,50;2,00;3,00;17,00;21,00;0,50;0,50;1,00;1,00;4,00;6,00;6,00;0,00;0,50;0,00;1,00;6,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-09-01;20,00;47,00;4,00;1,00;5,00;36,00;6,00;5,00;19,00;41,00;2,00;3,00;3,00;4,00;13,00;4,00;0,50;0,00;1,00;1,00;2,00;6,00;5,00;0,00;0,00;0,00;0,50;3,00;0,00;0,00;0,50;0,00;0,00;0,00;0,50;0,00;0,00;0,00;0,00;0,00
2019-09-08;22,00;36,00;2,00;0,00;2,00;40,00;3,00;4,00;13,00;35,00;2,00;0,50;6,00;3,00;11,00;1,00;0,00;1,00;0,50;1,00;2,00;2,00;3,00;0,00;0,00;0,00;0,00;3,00;0,50;0,00;0,00;0,00;0,00;0,00;0,00;0,50;0,00;0,00;0,00;0,00
2019-09-15;16,00;27,00;3,00;0,00;4,00;27,00;2,00;3,00;10,00;32,00;1,00;3,00;6,00;3,00;6,00;1,00;0,50;1,00;1,00;1,00;4,00;5,00;5,00;0,00;0,00;0,00;0,00;1,00;0,00;0,00;0,50;0,00;1,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-09-22;18,00;23,00;4,00;1,00;3,00;24,00;4,00;4,00;12,00;20,00;1,00;3,00;6,00;1,00;5,00;2,00;0,00;0,50;0,00;1,00;2,00;5,00;2,00;0,00;0,00;0,00;0,00;0,50;0,00;0,00;0,00;0,00;0,50;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-09-29;15,00;24,00;1,00;0,50;2,00;19,00;4,00;3,00;7,00;25,00;2,00;3,00;4,00;4,00;3,00;0,00;0,00;2,00;0,50;0,50;3,00;4,00;3,00;0,00;0,00;0,00;0,00;0,50;0,00;0,00;1,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-10-06;12,00;14,00;1,00;0,50;5,00;14,00;1,00;2,00;9,00;16,00;3,00;2,00;7,00;1,00;4,00;0,50;0,00;0,50;0,00;1,00;4,00;1,00;1,00;0,00;0,00;0,00;0,00;0,50;0,00;0,00;0,00;0,00;0,00;0,50;0,00;0,00;0,00;0,50;0,00;0,00
2019-10-13;16,00;16,00;2,00;0,00;3,00;12,00;1,00;2,00;9,00;15,00;0,50;2,00;3,00;1,00;2,00;1,00;0,00;0,50;0,00;1,00;2,00;2,00;1,00;0,00;0,00;0,00;0,50;3,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-10-20;10,00;12,00;2,00;0,00;4,00;8,00;1,00;1,00;8,00;17,00;2,00;2,00;4,00;0,00;3,00;1,00;0,50;0,00;0,50;1,00;1,00;2,00;1,00;0,00;0,50;0,00;0,00;0,50;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-10-27;15,00;12,00;1,00;0,00;4,00;6,00;0,00;0,50;5,00;7,00;2,00;1,00;5,00;1,00;1,00;1,00;0,50;0,50;1,00;0,50;3,00;2,00;4,00;0,00;0,00;0,00;0,00;0,50;0,00;0,50;0,00;0,00;1,00;0,00;0,00;0,00;0,50;0,00;0,00;0,00
2019-11-03;16,00;9,00;1,00;0,00;2,00;5,00;1,00;1,00;7,00;12,00;0,50;1,00;5,00;2,00;2,00;0,00;0,50;0,00;1,00;0,50;1,00;1,00;3,00;0,00;0,00;0,00;0,00;0,50;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-11-10;8,00;9,00;2,00;0,50;3,00;10,00;2,00;2,00;6,00;11,00;0,50;1,00;5,00;0,50;1,00;0,50;0,00;1,00;1,00;0,00;0,50;1,00;2,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,50;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-11-17;16,00;11,00;1,00;0,00;3,00;5,00;2,00;2,00;5,00;5,00;1,00;0,50;7,00;0,50;0,50;0,50;0,00;1,00;1,00;0,50;2,00;2,00;2,00;0,00;0,00;0,00;0,00;1,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-11-24;5,00;10,00;2,00;0,50;4,00;7,00;2,00;1,00;7,00;11,00;0,00;0,00;3,00;1,00;3,00;0,00;0,50;0,50;0,00;0,50;2,00;2,00;3,00;0,00;0,00;0,00;0,00;0,50;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-12-01;18,00;12,00;2,00;0,00;3,00;10,00;3,00;2,00;6,00;6,00;1,00;2,00;2,00;0,50;3,00;0,00;0,00;0,00;0,00;0,50;1,00;0,50;1,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-12-08;11,00;16,00;3,00;0,00;2,00;8,00;1,00;1,00;3,00;12,00;1,00;0,50;3,00;1,00;1,00;0,50;0,00;0,50;1,00;0,00;2,00;2,00;1,00;0,00;0,50;0,00;0,50;1,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-12-15;13,00;13,00;1,00;0,00;3,00;11,00;3,00;3,00;5,00;14,00;2,00;1,00;5,00;1,00;2,00;1,00;0,00;0,00;1,00;0,50;2,00;0,50;2,00;0,00;0,00;0,00;0,00;0,50;0,00;0,00;0,50;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-12-22;28,00;17,00;3,00;1,00;4,00;16,00;1,00;2,00;7,00;8,00;2,00;3,00;6,00;1,00;2,00;3,00;0,00;1,00;1,00;1,00;3,00;3,00;8,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;1,00;0,00;0,00;1,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-12-29;26,00;21,00;3,00;1,00;3,00;20,00;3,00;2,00;16,00;25,00;0,00;3,00;5,00;0,00;3,00;2,00;0,00;0,00;2,00;1,00;2,00;4,00;4,00;0,00;0,00;0,00;1,00;1,00;0,00;0,00;1,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2020-01-05;14,00;28,00;3,00;1,00;4,00;29,00;6,00;4,00;13,00;24,00;1,00;1,00;5,00;1,00;4,00;1,00;0,00;0,00;0,50;0,00;1,00;4,00;1,00;0,00;0,00;0,00;0,50;1,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,50;0,00;0,00
2020-01-12;16,00;26,00;3,00;0,50;4,00;21,00;3,00;5,00;23,00;34,00;2,00;2,00;7,00;2,00;4,00;2,00;0,00;0,00;1,00;0,50;2,00;5,00;2,00;0,00;0,50;0,00;0,00;1,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2020-01-19;15,00;32,00;3,00;0,00;4,00;32,00;5,00;3,00;23,00;30,00;1,00;3,00;8,00;2,00;5,00;0,00;0,00;0,50;3,00;1,00;2,00;4,00;3,00;0,00;1,00;0,00;0,00;1,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2020-01-26;13,00;36,00;2,00;1,00;5,00;24,00;4,00;4,00;16,00;28,00;1,00;0,50;4,00;2,00;4,00;1,00;0,00;0,50;2,00;0,50;2,00;3,00;2,00;0,00;0,00;0,00;0,00;3,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2020-02-02;16,00;24,00;1,00;1,00;3,00;23,00;3,00;4,00;17,00;26,00;3,00;3,00;3,00;1,00;5,00;1,00;0,50;1,00;0,50;0,00;3,00;1,00;1,00;0,00;0,00;0,00;0,50;0,50;0,50;0,00;0,50;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2020-02-09;17,00;29,00;2,00;1,00;3,00;23,00;3,00;5,00;19,00;23,00;2,00;1,00;5,00;2,00;7,00;2,00;0,50;0,50;0,50;0,00;0,50;5,00;1,00;0,00;0,00;0,00;0,00;2,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2020-02-16;22,00;24,00;0,50;0,50;3,00;25,00;4,00;6,00;18,00;26,00;3,00;1,00;4,00;3,00;4,00;1,00;0,00;0,50;0,00;0,00;0,50;5,00;2,00;0,00;0,50;0,00;0,00;1,00;0,00;0,00;0,00;0,50;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2020-02-23;14,00;17,00;1,00;0,00;2,00;12,00;2,00;3,00;10,00;19,00;3,00;0,50;4,00;2,00;3,00;0,50;0,00;0,50;2,00;1,00;0,50;3,00;2,00;0,00;0,50;0,00;0,00;2,00;0,00;0,00;0,50;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2020-03-01;10,00;16,00;2,00;0,00;2,00;10,00;1,00;1,00;10,00;12,00;2,00;0,00;5,00;1,00;3,00;0,50;0,50;0,50;1,00;0,50;0,50;1,00;2,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,50;0,00;0,50;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2020-03-08;13,00;5,00;1,00;1,00;0,00;5,00;0,00;0,50;3,00;5,00;2,00;0,00;2,00;0,00;2,00;1,00;0,00;0,50;1,00;1,00;0,00;1,00;1,00;0,00;0,00;0,00;0,00;0,50;0,00;0,00;0,50;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2020-03-15;11,00;5,00;2,00;0,00;1,00;5,00;2,00;1,00;3,00;5,00;0,50;0,50;1,00;0,00;1,00;0,00;1,00;1,00;1,00;0,00;1,00;0,00;1,00;0,00;0,50;0,50;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2020-03-22;5,00;3,00;0,50;0,50;2,00;6,00;1,00;1,00;3,00;7,00;0,50;0,00;1,00;0,00;1,00;0,50;0,00;1,00;1,00;0,00;1,00;1,00;0,50;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2020-03-29;5,00;6,00;0,50;0,00;0,50;3,00;1,00;1,00;3,00;7,00;1,00;1,00;1,00;0,50;3,00;1,00;0,00;0,00;0,00;0,50;0,00;0,50;1,00;0,00;0,00;0,50;0,00;1,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2020-04-05;4,00;4,00;1,00;1,00;1,00;6,00;0,50;2,00;4,00;9,00;0,50;0,00;1,00;0,00;2,00;0,50;0,00;1,00;2,00;0,00;0,00;1,00;0,00;0,00;0,00;0,00;0,00;0,50;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2020-04-12;5,00;7,00;2,00;0,00;1,00;7,00;1,00;2,00;7,00;8,00;0,00;0,50;0,50;1,00;3,00;0,50;0,00;0,00;0,00;0,00;0,00;1,00;0,50;0,00;0,00;0,00;0,00;0,50;0,00;0,50;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2020-04-19;4,00;6,00;0,00;0,50;1,00;6,00;1,00;2,00;5,00;8,00;0,50;0,00;1,00;0,50;0,50;0,50;0,50;1,00;2,00;0,00;0,00;1,00;0,50;0,00;0,00;0,00;0,00;0,50;0,50;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
