Campings;FR;BE;CH;DE;ES;IT;NL;GB;US
2019-01-06;3,00;15,00;10,00;9,00;5,00;3,00;102,00;9,00;9,00
2019-01-13;4,00;20,00;16,00;10,00;7,00;4,00;116,00;12,00;12,00
2019-01-20;4,00;26,00;23,00;10,00;6,00;8,00;96,00;12,00;12,00
2019-01-27;21,00;27,00;17,00;13,00;8,00;10,50;57,75;7,88;7,88
2019-02-03;30,00;23,00;19,00;13,00;11,00;10,91;62,73;8,18;8,18
2019-02-10;27,00;20,00;21,00;15,00;13,00;13,50;56,70;8,10;8,10
2019-02-17;31,00;33,00;29,00;12,00;16,00;14,09;64,82;8,45;8,45
2019-02-24;28,00;23,00;18,00;13,00;15,00;14,00;56,00;8,40;8,40
2019-03-03;29,00;19,00;24,00;13,00;15,00;13,18;60,64;10,55;7,91
2019-03-10;29,00;16,00;27,00;17,00;20,00;15,82;55,36;7,91;10,55
2019-03-17;26,00;15,00;31,00;14,00;17,00;11,56;57,78;8,67;11,56
2019-03-24;32,00;35,00;35,00;18,00;20,00;16,00;66,67;10,67;13,33
2019-03-31;7,00;27,00;27,00;10,00;13,00;7,00;58,33;7,00;9,33
2019-04-07;4,00;27,00;18,00;11,00;18,00;12,00;124,00;20,00;20,00
2019-04-14;6,00;31,00;24,00;19,00;24,00;9,00;108,00;15,00;15,00
2019-04-21;5,00;29,00;20,00;13,00;12,00;10,00;112,50;12,50;12,50
2019-04-28;3,00;37,00;13,00;13,00;13,00;15,00;132,00;12,00;15,00
2019-05-05;2,00;24,00;19,00;12,00;18,00;8,00;78,00;10,00;10,00
2019-05-12;6,00;31,00;14,00;13,00;20,00;6,00;114,00;12,00;18,00
2019-05-19;6,00;27,00;17,00;11,00;16,00;9,00;123,00;18,00;24,00
2019-05-26;10,00;48,00;33,00;20,00;20,00;12,50;122,50;17,50;17,50
2019-06-02;6,00;36,00;32,00;21,00;22,00;18,00;159,00;15,00;21,00
2019-06-09;10,00;43,00;26,00;19,00;26,00;20,00;112,50;15,00;20,00
2019-06-16;8,00;58,00;24,00;22,00;31,00;24,00;133,33;16,00;24,00
2019-06-23;9,00;53,00;30,00;21,00;34,00;24,00;141,00;18,00;27,00
2019-06-30;10,00;47,00;33,00;20,00;43,00;20,00;150,00;17,50;22,50
2019-07-07;11,00;70,00;45,00;21,00;39,00;19,25;211,75;19,25;24,75
2019-07-14;14,00;61,00;43,00;25,00;53,00;19,60;226,80;22,40;25,20
2019-07-21;19,00;67,00;38,00;24,00;43,00;21,71;228,00;21,71;24,43
2019-07-28;20,00;62,00;53,00;18,00;52,00;22,86;231,43;20,00;22,86
2019-08-04;17,00;53,00;29,00;23,00;53,00;31,17;212,50;22,67;19,83
2019-08-11;16,00;61,00;22,00;21,00;51,00;29,33;141,33;21,33;18,67
2019-08-18;17,00;49,00;18,00;20,00;38,00;17,00;158,67;22,67;19,83
2019-08-25;8,00;45,00;23,00;18,00;23,00;18,67;114,67;16,00;16,00
2019-09-01;7,00;21,00;8,00;17,00;17,00;9,33;63,00;9,33;11,67
2019-09-08;6,00;18,00;13,00;15,00;11,00;12,00;69,00;12,00;12,00
2019-09-15;5,00;18,00;11,00;12,00;9,00;7,50;52,50;7,50;10,00
2019-09-22;3,00;10,00;18,00;9,00;11,00;6,00;51,00;9,00;12,00
2019-09-29;2,00;10,00;8,00;11,00;8,00;2,00;24,00;4,00;8,00
2019-10-06;3,00;16,00;10,00;7,00;10,00;3,00;45,00;6,00;12,00
2019-10-13;2,00;16,00;8,00;9,00;9,00;2,00;32,00;4,00;6,00
2019-10-20;1,00;13,00;5,00;7,00;6,00;2,00;32,00;4,00;6,00
2019-10-27;2,00;12,00;1,00;7,00;8,00;2,00;26,00;4,00;4,00
2019-11-03;2,00;21,00;7,00;6,00;5,00;2,00;34,00;4,00;4,00
2019-11-10;1,00;14,00;7,00;6,00;4,00;2,00;22,00;2,00;4,00
2019-11-17;1,00;12,00;2,00;7,00;5,00;2,00;26,00;2,00;4,00
2019-11-24;1,00;12,00;5,00;5,00;4,00;1,00;24,00;2,00;2,00
2019-12-01;2,00;11,00;4,00;4,00;5,00;2,00;22,00;2,00;2,00
2019-12-08;1,00;8,00;7,00;4,00;3,00;1,00;30,00;2,00;2,00
2019-12-15;1,00;12,00;5,00;5,00;3,00;1,00;13,00;1,00;2,00
2019-12-22;2,00;21,00;2,00;7,00;5,00;2,00;40,00;4,00;4,00
2019-12-29;3,00;16,00;18,00;10,00;6,00;3,00;84,00;12,00;9,00
2020-01-05;2,00;15,00;13,00;11,00;6,00;4,00;66,00;8,00;6,00
2020-01-12;3,00;16,00;8,00;13,00;7,00;6,00;111,00;12,00;9,00
2020-01-19;3,00;18,00;6,00;12,00;8,00;9,00;93,00;12,00;9,00
2020-01-26;4,00;21,00;12,00;9,00;9,00;8,00;104,00;8,00;12,00
2020-02-02;4,00;21,00;14,00;9,00;9,00;8,00;100,00;8,00;12,00
2020-02-09;3,00;20,00;10,00;8,00;9,00;6,00;54,00;9,00;9,00
2020-02-16;3,00;13,00;13,00;9,00;9,00;6,00;69,00;6,00;9,00
2020-02-23;4,00;16,00;8,00;6,00;11,00;4,00;68,00;8,00;12,00
2020-03-01;3,00;21,00;6,00;8,00;9,00;6,00;54,00;6,00;12,00
2020-03-08;3,00;19,00;8,00;7,00;5,00;3,00;48,00;6,00;9,00
2020-03-15;1,00;8,00;2,00;5,00;2,00;1,00;22,00;4,00;6,00
2020-03-22;1,00;4,00;4,00;5,00;2,00;1,00;44,00;2,00;4,00
2020-03-29;2,00;6,00;5,00;4,00;2,00;1,00;36,00;2,00;4,00
2020-04-05;2,00;7,00;8,00;3,00;2,00;2,00;28,00;2,00;4,00
2020-04-12;3,00;9,00;9,00;5,00;2,00;1,50;39,00;3,00;6,00
2020-04-19;2,00;10,00;10,00;3,00;3,00;1,00;48,00;2,00;6,00
2020-04-26;1,00;12,00;18,00;6,00;4,00;2,00;58,00;2,00;8,00
2020-05-03;1,00;8,00;14,00;9,00;4,00;2,00;94,00;2,00;10,00
2020-05-10;2,00;16,00;17,00;12,00;5,00;4,00;82,00;4,00;12,00
2020-05-17;3,00;20,00;32,00;16,00;7,00;9,00;159,00;6,00;27,00
2020-05-24;4,00;29,00;30,00;18,00;17,00;8,00;98,00;4,00;18,00
2020-05-31;6,00;52,00;30,00;18,00;16,00;15,00;162,00;9,00;27,00
2020-06-07;5,00;53,00;42,00;19,00;19,00;12,50;147,50;7,50;27,50
2020-06-14;8,00;69,00;26,00;19,00;25,00;21,33;186,67;8,00;32,00
2020-06-21;8,00;76,00;44,00;23,00;41,00;26,67;186,67;16,00;29,33
2020-06-28;8,00;88,00;41,00;23,00;42,00;29,33;210,67;16,00;32,00
2020-07-05;11,00;72,00;50,00;25,00;42,00;27,50;242,00;19,25;30,25
2020-07-12;9,00;100,00;45,00;22,00;42,00;30,00;300,00;30,00;33,00
2020-07-19;13,00;100,00;49,00;23,00;47,00;26,00;226,20;26,00;28,60
2020-07-26;14,00;89,00;56,00;26,00;52,00;33,60;271,60;28,00;30,80
2020-08-02;13,00;86,00;37,00;28,00;63,00;23,40;223,60;26,00;26,00
2020-08-09;13,00;78,00;32,00;22,00;51,00;36,40;200,20;20,80;23,40
2020-08-16;10,00;58,00;34,00;22,00;44,00;25,00;127,50;17,50;20,00
2020-08-23;8,00;36,00;19,00;21,00;33,00;18,67;114,67;16,00;18,67
2020-08-30;5,00;28,00;26,00;20,00;23,00;15,00;97,50;12,50;20,00
2020-09-06;5,00;39,00;26,00;15,00;17,00;12,50;100,00;12,50;17,50
2020-09-13;4,00;39,00;21,00;15,00;9,00;16,00;124,00;16,00;20,00
2020-09-20;1,00;16,00;16,00;10,00;6,00;2,00;22,00;2,00;5,00
2020-09-27;2,00;11,00;13,00;8,00;12,00;4,00;34,00;4,00;10,00
2020-10-04;1,00;14,00;17,00;8,00;10,00;2,00;22,00;4,00;8,00
2020-10-11;2,00;17,00;7,00;5,00;7,00;2,00;30,00;4,00;8,00
2020-10-18;1,00;16,00;4,00;6,00;3,00;0,50;10,00;1,00;3,00
2020-10-25;1,00;9,00;4,00;3,00;3,00;0,50;10,00;1,00;3,00
2020-11-01;0,50;11,00;2,00;2,00;1,00;0,50;10,00;1,00;2,00
2020-11-08;0,50;8,00;7,00;2,00;3,00;0,50;10,00;1,00;3,00
2020-11-15;1,00;7,00;3,00;3,00;2,00;1,00;22,00;2,00;4,00
2020-11-22;1,00;11,00;2,00;2,00;2,00;1,00;18,00;2,00;4,00
2020-11-29;1,00;7,00;1,00;2,00;2,00;1,00;20,00;2,00;4,00
2020-12-06;1,00;7,00;5,00;2,00;3,00;1,00;18,00;2,00;4,00
2020-12-13;1,00;10,00;5,00;2,00;3,00;1,00;20,00;2,00;4,00
2020-12-20;1,00;12,00;6,00;3,00;3,00;1,00;24,00;1,00;4,00
2020-12-27;1,00;13,00;7,00;4,00;4,00;2,00;34,00;2,00;6,00
2021-01-03;1,00;13,00;5,00;5,00;4,00;1,00;40,00;2,00;4,00
2021-01-10;1,00;14,00;9,00;3,00;3,00;1,00;34,00;2,00;6,00
2021-01-17;2,00;15,00;7,00;4,00;3,00;2,00;34,00;2,00;6,00
2021-01-24;1,00;11,00;12,00;5,00;3,00;2,00;30,00;4,00;6,00
2021-01-31;2,00;10,00;6,00;4,00;3,00;2,00;34,00;4,00;6,00
2021-02-07;2,00;17,00;12,00;4,00;4,00;2,00;24,00;2,00;6,00
2021-02-14;2,00;18,00;7,00;5,00;6,00;2,00;42,00;2,00;6,00
2021-02-21;3,00;24,00;9,00;5,00;3,00;3,00;81,00;9,00;12,00
2021-02-28;3,00;18,00;11,00;5,00;7,00;3,00;78,00;6,00;12,00
2021-03-07;2,00;21,00;5,00;7,00;10,00;1,00;58,00;4,00;8,00
2021-03-14;2,00;21,00;7,00;6,00;12,00;2,00;46,00;6,00;10,00
2021-03-21;3,00;20,00;17,00;5,00;15,00;3,00;102,00;6,00;15,00
2021-03-28;2,00;19,00;27,00;5,00;20,00;2,00;60,00;6,00;10,00
2021-04-04;3,00;34,00;17,00;5,00;11,00;9,00;90,00;9,00;15,00
2021-04-11;2,00;35,00;25,00;4,00;10,00;6,00;70,00;6,00;12,00
2021-04-18;3,00;35,00;36,00;6,00;10,00;6,00;129,00;9,00;15,00
2021-04-25;5,00;44,00;20,00;6,00;11,00;7,50;115,00;10,00;12,50
2021-05-02;5,00;50,00;21,00;10,00;14,00;5,00;127,50;10,00;15,00
2021-05-09;8,00;35,00;28,00;14,00;21,00;10,67;152,00;10,67;16,00
2021-05-16;5,00;38,00;31,00;18,00;25,00;12,50;110,00;10,00;17,50
2021-05-23;7,00;51,00;41,00;21,00;25,00;24,50;185,50;17,50;28,00
2021-05-30;6,00;43,00;29,00;22,00;28,00;21,00;156,00;18,00;24,00
2021-06-06;7,00;45,00;32,00;20,00;37,00;18,67;158,67;14,00;18,67
2021-06-13;9,00;54,00;33,00;21,00;31,00;27,00;186,00;15,00;27,00
2021-06-20;6,00;45,00;31,00;23,00;37,00;24,00;186,00;18,00;27,00
2021-06-27;7,00;52,00;29,00;22,00;42,00;23,33;142,33;16,33;21,00
2021-07-04;9,00;81,00;45,00;21,00;50,00;27,00;225,00;18,00;27,00
2021-07-11;10,00;87,00;47,00;23,00;52,00;20,00;217,50;20,00;20,00
2021-07-18;11,00;89,00;51,00;26,00;51,00;24,75;261,25;19,25;22,00
2021-07-25;12,00;54,00;32,00;22,00;45,00;19,20;225,60;16,80;19,20
2021-08-01;20,00;71,00;42,00;26,00;56,00;25,71;237,14;22,86;20,00
2021-08-08;16,00;55,00;30,00;26,00;58,00;34,67;229,33;16,00;18,67
2021-08-15;10,00;48,00;24,00;22,00;47,00;25,00;165,00;12,50;15,00
2021-08-22;9,00;36,00;28,00;21,00;31,00;24,00;150,00;15,00;15,00
2021-08-29;8,00;33,00;33,00;18,00;23,00;18,67;106,67;10,67;16,00
